,Rank,Game Title,Year,Genre,energy,tempo,valence
355,0.8069254984260231,WWE SmackDown! Shut Your Mouth,2002.0,Sports,0.9,0.8,0.4
356,0.8064008394543547,Kung Fu Panda,2008.0,Platform,0.3,0.2,0.3
357,0.8058761804826863,LEGO Batman: The Videogame,2008.0,Adventure,0.85,0.9,0.8
358,0.8053515215110179,Dragon Ball Z: Budokai Tenkaichi 3,2007.0,Fighting,0.8,0.8,0.8
359,0.8048268625393494,Batman: Arkham Asylum,2009.0,Action,1.0,1.0,0.75
360,0.8037775445960126,Star Fox,1993.0,Shooter,0.6,0.4,0.9
361,0.8032528856243442,The Sims: Livin Large,2000.0,Misc,0.5,0.5,0.5
362,0.8027282266526757,World Soccer Winning Eleven 6 International,2002.0,Sports,0.9,0.8,0.4
363,0.8022035676810074,Devil May Cry,2001.0,Action,1.0,1.0,0.75
364,0.801678908709339,Mass Effect 2,2010.0,Role-Playing,0.7,0.8,0.8
365,0.8011542497376706,Dance Central,2010.0,Misc,0.5,0.5,0.5
366,0.8006295907660022,Sonic Heroes,2003.0,Platform,0.3,0.2,0.3
367,0.8001049317943337,Hitman 2: Silent Assassin,2002.0,Action,1.0,1.0,0.75
368,0.7995802728226653,Nintendogs + cats,2011.0,Simulation,0.6,0.5,0.4
369,0.7990556138509969,Wave Race 64,1996.0,Racing,0.75,0.6,0.4
370,0.7985309548793285,SOCOM II: U.S. Navy SEALs,2003.0,Shooter,0.6,0.4,0.9
371,0.79800629590766,WWE SmackDown! vs. RAW 2006,2005.0,Fighting,0.8,0.8,0.8
372,0.7974816369359916,Pac-Man Collection,2001.0,Puzzle,0.1,0.1,0.1
373,0.7969569779643232,Gran Turismo,2009.0,Racing,0.75,0.6,0.4
374,0.7964323189926548,Yoshi's Island: Super Mario Advance 3,2002.0,Platform,0.3,0.2,0.3
375,0.7959076600209863,Sonic Mega Collection Plus,2004.0,Misc,0.5,0.5,0.5
376,0.7953830010493179,World Soccer Winning Eleven 7 International,2003.0,Sports,0.9,0.8,0.4
377,0.7948583420776496,Hot Shots Golf 3,2001.0,Sports,0.9,0.8,0.4
378,0.7943336831059812,Killzone 2,2009.0,Shooter,0.6,0.4,0.9
379,0.7938090241343128,Call of Duty: Finest Hour,2004.0,Shooter,0.6,0.4,0.9
380,0.7932843651626443,Syphon Filter,1999.0,Shooter,0.6,0.4,0.9
381,0.7927597061909759,LittleBigPlanet 2,2011.0,Platform,0.3,0.2,0.3
382,0.7922350472193075,Colin McRae Rally,1998.0,Racing,0.75,0.6,0.4
383,0.7917103882476391,Kirby Super Star Ultra,2008.0,Platform,0.3,0.2,0.3
384,0.7911857292759706,The Elder Scrolls III: Morrowind,2002.0,Role-Playing,0.7,0.8,0.8
385,0.7906610703043022,Disney Epic Mickey,2010.0,Platform,0.3,0.2,0.3
386,0.7901364113326338,Imagine: Babyz,2007.0,Simulation,0.6,0.5,0.4
387,0.7896117523609654,Yoshi's Story,1997.0,Platform,0.3,0.2,0.3
388,0.789087093389297,F-Zero,1990.0,Racing,0.75,0.6,0.4
389,0.7885624344176285,Doom,1992.0,Shooter,0.6,0.4,0.9
390,0.7880377754459601,Command & Conquer: Red Alert,1996.0,Strategy,0.2,0.4,0.7
391,0.7875131164742918,Sega Superstars Tennis,2008.0,Sports,0.9,0.8,0.4
392,0.7869884575026234,Cooking Mama: Cook Off,2007.0,Simulation,0.6,0.5,0.4
393,0.7864637985309549,WarioWare: Smooth Moves,2006.0,Puzzle,0.1,0.1,0.1
394,0.7859391395592865,WWE SmackDown! vs. Raw,2002.0,Fighting,0.8,0.8,0.8
395,0.7854144805876181,LEGO Batman: The Videogame,2008.0,Adventure,0.85,0.9,0.8
396,0.7848898216159497,Diablo II,2000.0,Role-Playing,0.7,0.8,0.8
397,0.7843651626442812,Metroid Prime,2002.0,Shooter,0.6,0.4,0.9
398,0.7838405036726128,Finding Nemo,2003.0,Action,1.0,1.0,0.75
399,0.7833158447009444,WWE SmackDown! Here Comes the Pain,2003.0,Fighting,0.8,0.8,0.8
400,0.782791185729276,The Elder Scrolls V: Skyrim,2011.0,Role-Playing,0.7,0.8,0.8
401,0.7822665267576075,Imagine: Fashion Designer,2007.0,Simulation,0.6,0.5,0.4
402,0.7817418677859391,Hot Shots Golf,1997.0,Sports,0.9,0.8,0.4
403,0.7812172088142707,A Bug's Life,1998.0,Platform,0.3,0.2,0.3
404,0.7806925498426023,WWF SmackDown! Just Bring It,2001.0,Fighting,0.8,0.8,0.8
405,0.780167890870934,Mortal Kombat Trilogy,1996.0,Fighting,0.8,0.8,0.8
406,0.7796432318992655,The Elder Scrolls IV: Oblivion,2007.0,Role-Playing,0.7,0.8,0.8
407,0.7791185729275971,NBA Street,2001.0,Sports,0.9,0.8,0.4
408,0.7785939139559287,Madden NFL 10,2009.0,Sports,0.9,0.8,0.4
409,0.7780692549842603,Jak II,2003.0,Platform,0.3,0.2,0.3
410,0.7775445960125918,Ratchet & Clank: Going Commando,2003.0,Platform,0.3,0.2,0.3
411,0.7770199370409234,The Sims,2003.0,Simulation,0.6,0.5,0.4
412,0.776495278069255,Battlefield: Bad Company 2,2010.0,Shooter,0.6,0.4,0.9
413,0.7759706190975866,Mass Effect,2007.0,Role-Playing,0.7,0.8,0.8
414,0.7754459601259182,Mario Paint,1992.0,Misc,0.5,0.5,0.5
415,0.7749213011542497,Saints Row 2,2008.0,Action,1.0,1.0,0.75
416,0.7743966421825813,Pokémon Stadium 2,2000.0,Strategy,0.2,0.4,0.7
417,0.7733473242392445,L.A. Noire,2011.0,Adventure,0.85,0.9,0.8
418,0.7728226652675761,Age of Empires II: The Age of Kings,1999.0,Strategy,0.2,0.4,0.7
419,0.7717733473242393,The Legend of Zelda: A Link to the Past,2002.0,Adventure,0.85,0.9,0.8
420,0.7712486883525709,Onimusha: Warlords,2001.0,Action,1.0,1.0,0.75
421,0.7707240293809025,Mario Party,1998.0,Misc,0.5,0.5,0.5
422,0.770199370409234,Mass Effect 3,2012.0,Role-Playing,0.7,0.8,0.8
423,0.7696747114375656,LEGO Star Wars II: The Original Trilogy,2006.0,Action,1.0,1.0,0.75
424,0.7691500524658972,Yoshi's Island DS,2006.0,Platform,0.3,0.2,0.3
425,0.7686253934942288,Burnout 3: Takedown,2004.0,Racing,0.75,0.6,0.4
426,0.7681007345225603,Mortal Kombat,1992.0,Fighting,0.8,0.8,0.8
427,0.7675760755508919,Call Of Duty 2: Big Red One,2005.0,Shooter,0.6,0.4,0.9
428,0.7670514165792235,Medal of Honor,1998.0,Shooter,0.6,0.4,0.9
429,0.7665267576075551,Fable,2004.0,Role-Playing,0.7,0.8,0.8
430,0.7660020986358866,Tom Clancy's Splinter Cell,2003.0,Action,1.0,1.0,0.75
431,0.7649527806925499,Star Wars: Shadows of the Empire,1996.0,Action,1.0,1.0,0.75
432,0.7644281217208815,Hannah Montana,2006.0,Action,1.0,1.0,0.75
433,0.7639034627492131,Madden NFL 11,2010.0,Sports,0.9,0.8,0.4
434,0.7633788037775446,Midnight Club: Street Racing,2000.0,Racing,0.75,0.6,0.4
435,0.7628541448058762,ESPN NFL 2K5,2004.0,Sports,0.9,0.8,0.4
436,0.7623294858342078,Madden NFL 12,2011.0,Sports,0.9,0.8,0.4
437,0.7618048268625394,Call of Duty 3,2006.0,Shooter,0.6,0.4,0.9
438,0.7612801678908709,Harry Potter and the Chamber of Secrets,2002.0,Adventure,0.85,0.9,0.8
439,0.7607555089192025,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010.0,Puzzle,0.1,0.1,0.1
440,0.7602308499475341,Medal of Honor,2010.0,Shooter,0.6,0.4,0.9
441,0.7597061909758657,Streets of Rage,1990.0,Action,1.0,1.0,0.75
442,0.7591815320041972,NBA Live 2005,2004.0,Sports,0.9,0.8,0.4
443,0.7586568730325289,inFAMOUS,2009.0,Action,1.0,1.0,0.75
444,0.7581322140608605,BioShock,2007.0,Shooter,0.6,0.4,0.9
445,0.7576075550891921,Sonic and the Secret Rings,2007.0,Platform,0.3,0.2,0.3
446,0.7570828961175237,WWE SmackDown vs. RAW 2007,2006.0,Fighting,0.8,0.8,0.8
447,0.7565582371458552,Ratchet & Clank: Up Your Arsenal,2004.0,Platform,0.3,0.2,0.3
448,0.7560335781741868,Medal of Honor Heroes,2006.0,Shooter,0.6,0.4,0.9
449,0.7555089192025184,Tekken: Dark Resurrection,2006.0,Fighting,0.8,0.8,0.8
450,0.75498426023085,Madden NFL 08,2007.0,Sports,0.9,0.8,0.4
451,0.7544596012591815,FIFA Soccer 10,2009.0,Sports,0.9,0.8,0.4
452,0.7539349422875131,Star Wars: The Old Republic,2011.0,Role-Playing,0.7,0.8,0.8
453,0.7534102833158447,Sonic Adventure 2 Battle,2001.0,Platform,0.3,0.2,0.3
454,0.7523609653725079,Super Mario All-Stars: Limited Edition,2010.0,Platform,0.3,0.2,0.3
455,0.7518363064008394,Guitar Hero: World Tour,2008.0,Misc,0.5,0.5,0.5
456,0.7513116474291711,Star Wars: The Force Unleashed,2008.0,Action,1.0,1.0,0.75
457,0.7507869884575027,Zumba Fitness 2,2011.0,Sports,0.9,0.8,0.4
458,0.7502623294858343,Pokémon Colosseum,2003.0,Role-Playing,0.7,0.8,0.8
459,0.7497376705141658,Need for Speed: Shift,2009.0,Racing,0.75,0.6,0.4
460,0.7492130115424974,NBA 2K12,2011.0,Sports,0.9,0.8,0.4
461,0.748688352570829,God of War Collection,2009.0,Action,1.0,1.0,0.75
462,0.7481636935991606,Crazy Taxi,2001.0,Racing,0.75,0.6,0.4
463,0.7476390346274921,Perfect Dark,2000.0,Action,1.0,1.0,0.75
464,0.7471143756558237,Monster Hunter Freedom 2,2007.0,Role-Playing,0.7,0.8,0.8
465,0.7465897166841553,FIFA Soccer 09,2008.0,Sports,0.9,0.8,0.4
466,0.7460650577124869,Tekken 6,2009.0,Fighting,0.8,0.8,0.8
467,0.7455403987408185,PES 2009: Pro Evolution Soccer,2008.0,Sports,0.9,0.8,0.4
468,0.74501573976915,Mario Party 2,1999.0,Misc,0.5,0.5,0.5
469,0.7444910807974816,Madden NFL 09,2008.0,Sports,0.9,0.8,0.4
470,0.7439664218258133,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003.0,Action,1.0,1.0,0.75
471,0.7434417628541449,Mario Strikers Charged,2007.0,Sports,0.9,0.8,0.4
472,0.7429171038824764,Mortal Kombat: Deadly Alliance,2002.0,Fighting,0.8,0.8,0.8
473,0.742392444910808,Style Savvy,2008.0,Simulation,0.6,0.5,0.4
474,0.7418677859391396,Medal of Honor,2010.0,Shooter,0.6,0.4,0.9
475,0.7413431269674712,Tomb Raider: The Last Revelation,1998.0,Action,1.0,1.0,0.75
476,0.7408184679958028,Mario Party 4,2002.0,Misc,0.5,0.5,0.5
477,0.7402938090241343,Need for Speed: Hot Pursuit,2010.0,Racing,0.75,0.6,0.4
478,0.7397691500524659,Skylanders: Spyro's Adventure,2011.0,Action,1.0,1.0,0.75
479,0.7392444910807975,Madden NFL 13,2012.0,Sports,0.9,0.8,0.4
